Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Data Url
1654059,CUSHION,0.72,SI1,E,EX,EX,VG,ST,5.54-4.80×3.21,"2,127.22",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-7/
1646003,CUSHION,0.7,SI2,E,EX,EX,VG,N,5.25-4.77×3.24,"2,131.11",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-28/
1651863,CUSHION,0.56,VVS1,FANCY,EX,VG,GD,N,4.81-4.58×3.08,"2,131.23",https://capitalwholesalediamonds.com/product/0-56-ct-cushion-2/
1639546,CUSHION,0.8,SI1,I,VG,EX,GD,N,5.09-5.08×3.56,"2,131.51",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-106/
1628262,CUSHION,0.7,SI2,D,EX,EX,VG,N,5.11-4.94×3.36,"2,133.55",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-84/
1631305,CUSHION,0.9,SI1,K,VG,EX,VG,N,5.66-5.21×3.64,"2,133.76",https://capitalwholesalediamonds.com/product/0-9-ct-cushion-99/
1632713,CUSHION,0.9,SI2,I,VG,EX,VG,N,5.42-5.23×3.66,"2,133.85",https://capitalwholesalediamonds.com/product/0-9-ct-cushion-76/
1632714,CUSHION,0.8,VVS1,J,VG,EX,VG,N,5.16-5.13×3.59,"2,135.66",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-116/
1784937,CUSHION,0.7,SI2,D,EX,EX,VG,N,5.09-4.89×3.32,"2,138.86",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-153/
1793037,CUSHION,0.75,SI2,F,EX,EX,EX,N,5.17-5.01×3.40,"2,139.12",https://capitalwholesalediamonds.com/product/0-75-ct-cushion-37/
210256-93,CUSHION,1.2,VS1,FANCY,EX,EX,VG,N,6.02-5.86×3.93,"2,140.45",https://capitalwholesalediamonds.com/product/1-2-ct-cushion-105/
200528-105,CUSHION,1.12,,FANCY,EX,VG,GD,ST,6.07-5.66×3.67,"2,140.50",https://capitalwholesalediamonds.com/product/1-12-ct-cushion/
1775167,CUSHION,0.7,SI2,E,EX,EX,VG,N,5.51-4.79×3.25,"2,142.31",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-103/
1601102,CUSHION,0.82,VS2,J,EX,EX,VG,N,5.49-5.12×3.48,"2,145.22",https://capitalwholesalediamonds.com/product/0-82-ct-cushion-12/
1604247,CUSHION,0.82,SI2,FANCY,EX,EX,VG,F,5.54-4.97×3.36,"2,147.80",https://capitalwholesalediamonds.com/product/0-82-ct-cushion-2/
203227-107,CUSHION,1.01,SI1,K,EX,EX,EX,ST,5.64-5.56×3.78,"2,147.83",https://capitalwholesalediamonds.com/product/1-01-ct-cushion-98/
211007-620,CUSHION,1,VS1,N,EX,EX,EX,ST,6.26-5.43×3.70,"2,147.95",https://capitalwholesalediamonds.com/product/1-ct-cushion-25/
211007-531,CUSHION,1,VS1,N,EX,EX,VG,M,5.87-5.59×3.74,"2,147.95",https://capitalwholesalediamonds.com/product/1-ct-cushion-117/
1665792,CUSHION,0.7,SI2,D,EX,VG,VG,N,5.19-4.93×3.28,"2,148.28",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-79/
1651002,CUSHION,0.81,VS2,J,EX,EX,VG,N,5.42-5.09×3.45,"2,149.77",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-43/
210220-22,CUSHION,1.42,SI2,N,EX,EX,VG,N,6.92-6.07×3.80,"2,150.61",https://capitalwholesalediamonds.com/product/1-42-ct-cushion/
1639547,CUSHION,0.8,SI1,I,VG,EX,VG,F,5.27-5.13×3.53,"2,155.03",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-109/
200683-54,CUSHION,1.07,VVS2,W-X,EX,EX,EX,N,5.83-5.45×3.69,"2,155.85",https://capitalwholesalediamonds.com/product/1-07-ct-cushion-3/
1602041,CUSHION,0.8,VS2,J,EX,EX,EX,N,5.86-4.96×3.36,"2,157.93",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-139/
1602024,CUSHION,0.91,VVS2,K,EX,EX,EX,N,5.40-5.39×3.65,"2,158.66",https://capitalwholesalediamonds.com/product/0-91-ct-cushion-17/
211020-294,CUSHION,1.21,SI2,K,EX,EX,EX,N,6.35-6.05×4.11,"2,159.07",https://capitalwholesalediamonds.com/product/1-21-ct-cushion-3/
1634085,CUSHION,0.51,VVS2,D,EX,EX,VG,N,4.72-4.33×2.93,"2,159.88",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-44/
1784938,CUSHION,0.77,SI2,E,EX,EX,VG,N,5.21-5.15×3.45,"2,160.17",https://capitalwholesalediamonds.com/product/0-77-ct-cushion-6/
1777330,CUSHION,0.73,SI1,I,EX,EX,EX,N,5.23-4.90×3.32,"2,160.24",https://capitalwholesalediamonds.com/product/0-73-ct-cushion-19/
1628253,CUSHION,0.7,SI1,E,EX,EX,VG,N,5.75-4.63×3.14,"2,161.39",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-12/
1628263,CUSHION,0.71,SI2,E,EX,VG,VG,N,5.37-4.93×3.33,"2,163.98",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-7/
