Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price
201252-82,CUSHION,2.01,VVS2,J,EX,EX,EX,ST,7.25-7.01×4.76,"13,092.02"
200722-12,CUSHION,1.7,SI1,H,EX,EX,EX,N,6.90-6.75×4.55,"13,164.25"
200772-103,CUSHION,1.51,VVS2,F,EX,EX,EX,M,6.61-6.52×4.43,"13,219.49"
201195-4,CUSHION,1.7,VS1,F,VG,EX,EX,M,7.41-6.25×4.36,"13,223.02"
200774-47,CUSHION,1.7,VS1,F,EX,EX,VG,M,7.38-6.90×4.29,"13,262.90"
201199-96,CUSHION,2,IF,D,EX,EX,VG,ST,8.15-6.53×4.42,"29,832.43"
212052-1,CUSHION,2.5,SI1,F,VG,EX,VG,N,8.14-7.15×4.98,"30,238.26"
200763-184,CUSHION,2.2,VS1,D,EX,EX,EX,F,8.29-7.19×4.79,"30,427.92"
210504-360,CUSHION,2.4,VS2,G,EX,EX,EX,N,7.59-7.38×5.00,"30,474.04"
200712-296,CUSHION,2.01,IF,D,EX,EX,EX,M,7.87-6.64×4.51,"30,806.38"
201223-84,CUSHION,2.39,VS2,F,EX,EX,VG,N,7.71-7.59×5.12,"30,949.54"
200723-27,CUSHION,2.33,VVS1,G,EX,EX,EX,N,7.62-7.38×4.99,"31,512.41"
